Цена,Марка,Модель,Год выпуска,Поколение,Пробег,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,Обмен,Ссылка
1300000,BMW,X5,2007,E70 (2006—2010), 237000 км,3,Не битый,48i 4.8 AT (355 л.с.),,Бензин,Автомат,Полный,Базовая,Внедорожник 5-дверный,Чёрный,Левый,Возможен,"https://www.avito.ru/tolyatti/avtomobili/bmw_x5_4.8_at_2007_237_000_km_3514317151
"
13520000,BMW,X7,2022,G07 (2018—2023), 14500 км,1,Не битый,40d 3.0 xDrive Steptronic (340 л.с.),3.0,Дизель,Автомат,Полный,M Sport Pro,Внедорожник 5-дверный,Чёрный,Левый,Возможен,"https://www.avito.ru/naberezhnye_chelny/avtomobili/bmw_x7_3.0_at_2022_14_500_km_3269407748
"
5100000,BMW,X5,2018,F15 (2013—2018), 82935 км,2,Не битый,30d 3.0 xDrive Steptronic (258 л.с.),3.0,Дизель,Автомат,Полный,,Внедорожник 5-дверный,Серый,Левый,Возможен,"https://www.avito.ru/orenburgskaya_oblast_prigorodnyy/avtomobili/bmw_x5_3.0_at_2018_82_935_km_3163728295
"
4100000,BMW,3 серия,2019,G20 (2018—2023), 48000 км,2,Не битый,320d 2.0 AT (190 л.с.),2.0,Дизель,Автомат,Задний,M Sport,Седан,Синий,Левый,интересует,"https://www.avito.ru/tolyatti/avtomobili/bmw_3_seriya_2.0_at_2019_48_000_km_3326951745
"
4850000,BMW,X3,2020,G01 (2017—2021), 69143 км,1,Не битый,20d 2.0 xDrive Steptronic (190 л.с.),2.0,Дизель,Автомат,Полный,M Sport,Внедорожник 5-дверный,Белый,Левый,,"https://www.avito.ru/samara/avtomobili/bmw_x3_2.0_at_2020_69_143_km_3459343312
"
2596000,BMW,X4,2016,F26 (2014—2018), 157150 км,4+,Не битый,20i 2.0 xDrive AT (184 л.с.),2.0,Бензин,Автомат,Полный,,Внедорожник 5-дверный,Чёрный,Левый,Возможен,"https://www.avito.ru/kazan/avtomobili/bmw_x4_2.0_at_2016_157_150_km_3572138967
"
10200000,BMW,X5,2021,G05 (2018—2023), 54000 км,1,Не битый,30d 3.0 xDrive Steptronic (249 л.с.),3.0,Дизель,Автомат,Полный,M Sport Pro,Внедорожник 5-дверный,Зелёный,Левый,,"https://www.avito.ru/tolyatti/avtomobili/bmw_x5_3.0_at_2021_54_000_km_3547198175
"
3690000,BMW,5 серия,2019,G30/G31 (2016—2020), 116000 км,1,Не битый,518d 2.0 Steptronic (150 л.с.),2.0,Дизель,Автомат,Задний,Business,Седан,Серый,Левый,интересует,"https://www.avito.ru/samara/avtomobili/bmw_5_seriya_2.0_at_2019_116_000_km_3465566290
"
3859200,BMW,X5,2017,F15 (2013—2018), 66731 км,1,Не битый,35i 3.0 xDrive Steptronic (306 л.с.),3.0,Бензин,Автомат,Полный,Prestige,Внедорожник 5-дверный,Белый,Левый,Возможен,"https://www.avito.ru/ufa/avtomobili/bmw_x5_3.0_at_2017_66_731_km_3417225721
"
2049000,BMW,1 серия,2017,F20/F21 рестайлинг 2 (2017—2019), 72600 км,1,Не битый,116d 1.5 AT (116 л.с.),1.5,Дизель,Автомат,Задний,Базовая,Хетчбек 5-дверный,Чёрный,Левый,,"https://www.avito.ru/izhevsk/avtomobili/bmw_1_seriya_1.5_at_2017_72_600_km_2991091730
"
9500000,BMW,X5,2020,G05 (2018—2023), 39866 км,3,Не битый,M50i 4.4 xDrive Steptronic (530 л.с.),4.4,Бензин,Автомат,Полный,M Special by Individual,Внедорожник 5-дверный,Белый,Левый,,"https://www.avito.ru/samara/avtomobili/bmw_x5_4.4_at_2020_39_866_km_3618391089
"
1650000,BMW,X3,2013,F25 (2010—2014), 271502 км,4+,Не битый,20i 2.0 xDrive AT (184 л.с.),2.0,Бензин,Автомат,Полный,Базовая,Внедорожник 5-дверный,Белый,Левый,,"https://www.avito.ru/izhevsk/avtomobili/bmw_x3_2.0_at_2013_271_502_km_3579351023
"
1059000,BMW,1 серия,2013,F20/F21 (2011—2015), 204465 км,4+,Не битый,116i 1.6 Steptronic (136 л.с.),1.6,Бензин,Автомат,Задний,Базовая,Хетчбек 5-дверный,Белый,Левый,интересует,"https://www.avito.ru/samara/avtomobili/bmw_1_seriya_1.6_at_2013_204_465_km_3414346487
"
6100000,BMW,X4,2020,G02 (2018—2021), 30024 км,2,Не битый,20d 2.0 xDrive Steptronic (190 л.с.),2.0,Дизель,Автомат,Полный,,Внедорожник 5-дверный,Белый,Левый,,"https://www.avito.ru/perm/avtomobili/bmw_x4_2.0_at_2020_30_024_km_3414979208
"
6250000,BMW,5 серия,2021,G30/G31 рестайлинг (2020—2023), 28000 км,1,Не битый,520d 2.0 xDrive Steptronic (190 л.с.),2.0,Дизель,Автомат,Полный,Base,Универсал,Белый,Левый,Возможен,"https://www.avito.ru/samara/avtomobili/bmw_5_seriya_2.0_at_2021_28_000_km_3563878466
"
605000,BMW,1 серия,2008,E81/E82/E87/E88 рестайлинг (2007—2011), 220000 км,3,Не битый,116i 1.6 AT (115 л.с.),1.6,Бензин,Автомат,Задний,Базовая,Хетчбек 5-дверный,Чёрный,Левый,Возможен,"https://www.avito.ru/samara/avtomobili/bmw_1_seriya_1.6_at_2008_220_000_km_3439226022
"
3499000,BMW,5 серия,2018,G30/G31 (2016—2020), 111000 км,1,Не битый,520d 2.0 xDrive Steptronic (190 л.с.),2.0,Дизель,Автомат,Полный,,Универсал,Коричневый,Левый,Возможен,"https://www.avito.ru/izhevsk/avtomobili/bmw_5_seriya_2.0_at_2018_111_000_km_3503279137
"
4800000,BMW,X3,2020,G01 (2017—2021), 112658 км,1,Не битый,20d 2.0 xDrive Steptronic (190 л.с.),2.0,Дизель,Автомат,Полный,xLine,Внедорожник 5-дверный,Белый,Левый,,"https://www.avito.ru/samara/avtomobili/bmw_x3_2.0_at_2020_112_658_km_3395130137
"
9910000,BMW,X5,2021,G05 (2018—2023), 42422 км,1,Не битый,30d 3.0 xDrive Steptronic (249 л.с.),3.0,Дизель,Автомат,Полный,M Sport Plus,Внедорожник 5-дверный,Белый,Левый,,"https://www.avito.ru/samara/avtomobili/bmw_x5_3.0_at_2021_42_422_km_3572515495
"
14680000,BMW,X5,2023,G05 рестайлинг (2023—2023), 120 км,1,Не битый,30d 3.0 xDrive Steptronic (298 л.с.),3.0,Дизель,Автомат,Полный,M Sport,Внедорожник 5-дверный,Бежевый,Левый,,"https://www.avito.ru/nizhniy_novgorod/avtomobili/bmw_x5_3.0_at_2023_120_km_3496868262
"
